sl_no,project_id,project_name,implementing_agency,ministry_department,sector,state,approval_date,start_date,original_target_doc,revised_doc,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,legacy_ocms_code,pmgid,cost_overrun_pct,expenditure_to_revised_cost_pct,schedule_slippage_months,report_month,source_page
1,612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,03/2023,01/2024,01/2026,09/2026,265.91,265.91,176.38,80.0,612786,-,0.0,66.33071339927042,8.0,2026-07,55
2,701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,06/2020,09/2020,09/2022,11/2026,611.8,824.28,572.99,89.7,701107,-,34.73030402092188,69.5140000970544,50.0,2026-07,55
3,701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,12/2022,08/2023,08/2025,08/2026,347.15,347.15,189.48,96.0,701121,-,0.0,54.58159297133805,12.0,2026-07,55
4,706724,Guwahati Airport New Integrated Terminal Building Construction Project,(Adani Airport Holdings Limited),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2670.23,99.5,706724,-,47.19626168224299,105.96150793650794,15.0,2026-07,55
5,612183,Development of New Civil Enclave at Bihta,(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,08/2024,04/2025,03/2027,,1413.0,1413.0,15.53,4.15,612183,-,0.0,1.0990799716914366,,2026-07,55
6,612194,Development of New Civil Enclave and associated works at Darbhanga Airport,(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,426.22,71.1,612194,-,0.0,46.752078625803485,4.0,2026-07,55
7,701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,10/2018,10/2018,05/2026,08/2026,1216.9,1216.9,1203.48,99.26,701101,-,0.0,98.89719779768264,3.0,2026-07,55
8,619054,Development of Keshod Airport.,(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,01/2024,07/2025,01/2027,,363.1,363.1,108.64,46.69,619054,-,0.0,29.920132194987602,,2026-07,55
9,701126,"Development of Dholera International Greenfield Airport , Gujarat",(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,06/2022,07/2022,06/2026,09/2026,1305.0,1551.0,966.36,88.0,701126,-,18.850574712643677,62.30560928433269,3.0,2026-07,55
10,611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Jammu and Kashmir,10/2023,12/2023,06/2026,11/2026,861.37,861.37,370.44,58.35,611047,-,0.0,43.0059091911722,5.0,2026-07,55
11,612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Karnataka,06/2023,01/2024,01/2026,09/2026,320.47,320.47,169.11,88.5,612787,-,0.0,52.76936998783037,8.0,2026-07,55
12,612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Karnataka,06/2023,02/2024,02/2026,08/2026,322.45,322.45,240.99,97.0,612788,-,0.0,74.73716855326408,6.0,2026-07,55
13,612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Kerala,06/2023,02/2024,09/2025,12/2026,484.57,484.57,242.51,65.8,612789,-,0.0,50.04643291990837,15.0,2026-07,55
14,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,07/2018,09/2018,09/2021,07/2026,480.0,640.0,512.55,88.0,400010,-,33.33333333333333,80.0859375,58.0,2026-07,55
15,706718,C/o NITB Imphal Airport,(Airport Authority of India [AAI]),Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Multi-States (Karnataka, Maharashtra, Telangana, Uttar",11/2021,07/2022,07/2024,12/2026,499.0,499.0,212.17,53.14,706718,-,0.0,42.519038076152306,29.0,2026-07,55
